BUYER_STATE,BUYER_COUNTY,YEAR,TOTAL_MME
CA,SISKIYOU,2009,65365600.956541
CA,SISKIYOU,2010,71697422.835719
CA,SISKIYOU,2011,72762580.15084
CA,SISKIYOU,2012,78225604.96575549
CA,SISKIYOU,2013,80328773.7589705
CA,SISKIYOU,2014,76494224.9375885
CA,SISKIYOU,2015,72363628.833459
CA,SISKIYOU,2016,65968443.19467799
CA,SISKIYOU,2017,59774795.914418995
CA,SISKIYOU,2018,50224666.652715
CA,SISKIYOU,2019,147056053.6655995
CA,SONOMA,2008,567563049.9464562
CA,SONOMA,2010,608178461.646176
CA,SONOMA,2013,662205121.149968
CA,SONOMA,2014,1055038325.2670923
CA,SONOMA,2015,646402232.6513649
CA,SONOMA,2016,609330212.0750626
CA,SONOMA,2017,584771707.666445
CA,SONOMA,2018,690223305.8072582
CA,STANISLAUS,2006,567178645.3068575
CA,STANISLAUS,2007,637121628.5087299
CA,STANISLAUS,2008,666738243.3788425
CA,SUTTER,2006,109199140.1765025
CA,SUTTER,2007,128244174.4322495
CA,SUTTER,2008,143289831.47779375
CA,SUTTER,2009,157792588.8869625
CA,SUTTER,2010,174614699.40325776
CA,SUTTER,2011,174335396.6764195
CA,SUTTER,2012,176951425.7145395
CA,SUTTER,2013,158188485.675214
CA,SUTTER,2014,146030110.044499
CA,SUTTER,2015,139992701.0491219
CA,SUTTER,2016,131929054.200272
CA,SUTTER,2017,116276572.316581
CA,SUTTER,2018,91751698.8163852
CA,SUTTER,2019,76861563.25364299
CA,TEHAMA,2006,63094610.147974
CA,TEHAMA,2007,71619086.8718315
CA,TEHAMA,2008,77461219.12960234
CA,TEHAMA,2009,79492267.619896
CA,TEHAMA,2010,87046879.614999
CA,TEHAMA,2011,86825671.8639285
CA,TEHAMA,2012,88197762.9020175
CA,TEHAMA,2013,85052099.5781755
CA,TEHAMA,2014,75679227.581671
CA,TEHAMA,2015,71683551.2323222
CA,TEHAMA,2016,64732957.833499
CA,TEHAMA,2017,58001184.5188965
CA,TEHAMA,2018,48611008.820241995
CA,TEHAMA,2019,44929114.243499994
CA,TRINITY,2006,17954995.9489145
CA,TRINITY,2007,20253243.987045
CA,TRINITY,2008,18794964.973171
CA,TRINITY,2009,20877538.149491
CA,TRINITY,2010,23227221.7143455
CA,TRINITY,2011,25428662.826885
CA,TRINITY,2012,27060810.785413
CA,TRINITY,2013,30540761.4593355
CA,TRINITY,2014,26933345.3226205
CA,TRINITY,2015,20242067.206855997
CA,TRINITY,2016,17892133.992167
CA,TRINITY,2017,12993861.069929
CA,TRINITY,2018,10087078.901403
CA,TRINITY,2019,8948059.248622
CA,TUOLUMNE,2006,92848458.303169
CA,TUOLUMNE,2007,111520668.41930176
CA,TUOLUMNE,2008,122381126.076616
CA,TUOLUMNE,2009,135444871.053708
CA,TUOLUMNE,2010,149073057.783825
CA,TUOLUMNE,2011,139933701.956475
CA,TUOLUMNE,2012,144867815.58160248
CA,TUOLUMNE,2013,145558698.745871
CA,TUOLUMNE,2014,141906896.425906
CA,TUOLUMNE,2015,127010171.475485
CA,TUOLUMNE,2016,108562241.854181
CA,TUOLUMNE,2017,100988930.722686
CA,TUOLUMNE,2018,100252305.76933847
CA,TUOLUMNE,2019,100845786.11556698
CA,YUBA,2006,86327074.1311235
CA,YUBA,2007,83738279.2599335
CA,YUBA,2008,94695162.4546475
CA,YUBA,2009,125423396.350019
CA,YUBA,2010,118017440.2889615
CA,YUBA,2011,123490091.294314
CA,YUBA,2012,121090852.3081105
CA,YUBA,2013,117790354.9090355
CA,YUBA,2014,125328944.739694
CA,YUBA,2015,135987817.1550495
CA,YUBA,2016,141942638.963173
CA,YUBA,2017,132762532.398534
CA,YUBA,2018,122056203.121929
CA,YUBA,2019,123537206.450543
CO,ADAMS,2015,391092087.8926525
CO,ADAMS,2016,387427917.1829591
CO,ADAMS,2017,363952112.8613806
CO,ADAMS,2018,364378628.0638797
CO,ALAMOSA,2006,15949053.44401325
CO,ALAMOSA,2007,18952424.64489625
CO,ALAMOSA,2008,22171719.0168805
CO,ALAMOSA,2009,26293419.3529965
CO,ALAMOSA,2010,25263208.9068755
CO,ALAMOSA,2011,30852977.9625045
CO,ALAMOSA,2012,33303312.4441435
CO,ALAMOSA,2013,30288956.7288885
CO,ALAMOSA,2014,25368344.003021
CO,ALAMOSA,2015,32574993.529505
CO,ALAMOSA,2016,32029473.401070494
CO,ALAMOSA,2017,23716356.087266997
CO,ALAMOSA,2018,24037534.381424498
CO,ALAMOSA,2019,27928776.875304997
CO,ARCHULETA,2006,2908683.1841269997
CO,ARCHULETA,2007,3092990.0742635
CO,ARCHULETA,2008,2792873.527162
CO,ARCHULETA,2009,3043345.6787215
CO,ARCHULETA,2010,3167496.018059
CO,ARCHULETA,2011,3307790.136801
CO,ARCHULETA,2012,5384445.4896625
CO,ARCHULETA,2013,5770834.28333
CO,ARCHULETA,2014,5838812.0686705
CO,ARCHULETA,2015,6255926.154314
CO,ARCHULETA,2016,5344716.255747999
CO,ARCHULETA,2017,5029616.839206999
CO,ARCHULETA,2018,3610871.65915
CO,ARCHULETA,2019,3367089.8428419996
CO,BACA,2006,3574761.885881
CO,BACA,2007,4401836.456283
CO,BACA,2008,4282198.289838
CO,BACA,2009,5947554.784561
CO,BACA,2010,5860654.230018
CO,BACA,2011,9415965.18369
CO,BACA,2012,4810200.722902
CO,BACA,2013,3441696.12827
CO,BACA,2014,9218135.56573
CO,BACA,2015,2603619.964831999
CO,BACA,2016,3043220.289860999
CO,BACA,2017,3043334.1594599993
CO,BACA,2018,2396545.9816
CO,BACA,2019,2135340.16166
CO,BENT,2006,1200247.890862
CO,BENT,2007,1611148.381307
CO,BENT,2008,1790219.021499
CO,BENT,2009,2079413.730952
CO,BENT,2010,2803615.283997
CO,BENT,2011,3654061.3487725
CO,BENT,2012,3670113.488669
CO,BENT,2013,2857815.5374525
CO,BENT,2014,2688490.483709
CO,BENT,2015,2909366.3567069992
CO,BENT,2016,3002299.2335119997
CO,BENT,2017,2481214.1826319993
CO,BENT,2018,2601468.6577
CO,BENT,2019,3693923.2052179994
CO,BOULDER,2006,188449998.24484217
CO,BOULDER,2007,208846118.461637
CO,BOULDER,2008,240635205.16475457
CO,BOULDER,2009,256802921.98800495
CO,BOULDER,2010,282860915.836984
CO,BOULDER,2011,295846527.72963375
CO,BOULDER,2012,292292042.349559
CO,BOULDER,2015,261012120.61726397
CO,BOULDER,2019,190984060.3641365
CO,CHAFFEE,2006,12586517.950691
CO,CHAFFEE,2007,12278312.7383415
CO,CHAFFEE,2008,13957671.192964
CO,CHAFFEE,2009,14436795.5088455
CO,CHAFFEE,2010,15755648.1174875
CO,CHAFFEE,2011,18109423.7857945
CO,CHAFFEE,2012,20262240.696618
CO,CHAFFEE,2013,19064573.068333
CO,CHAFFEE,2014,20992386.7623875
CO,CHAFFEE,2015,19129971.832622997
CO,CHAFFEE,2016,18607402.422707
CO,CHAFFEE,2017,14892225.977217998
CO,CHAFFEE,2018,16108208.315080496
CO,CHAFFEE,2019,16173832.472713998
CO,CHEYENNE,2006,350204.329044
CO,CHEYENNE,2007,475859.6824448
CO,CHEYENNE,2008,578717.3250829
CO,CHEYENNE,2009,614418.9618
CO,CHEYENNE,2010,1298871.06804
CO,CHEYENNE,2011,1240705.03852
CO,CHEYENNE,2012,974046.61271
CO,CHEYENNE,2013,1074179.01831
CO,CHEYENNE,2014,1246560.109468
CO,CHEYENNE,2015,1302653.02215
CO,CHEYENNE,2016,1763425.2085
CO,CHEYENNE,2017,2181730.0441
CO,CHEYENNE,2018,1552972.2383
CO,CHEYENNE,2019,235188.10049999997
CO,CLEAR CREEK,2006,3388825.864873
CO,CLEAR CREEK,2007,4563019.642909
CO,CLEAR CREEK,2008,4906135.906628
CO,CLEAR CREEK,2009,6420102.326155
CO,CLEAR CREEK,2010,6917493.743858
CO,CLEAR CREEK,2011,6968260.557696
CO,CLEAR CREEK,2012,4211219.27637775
CO,CLEAR CREEK,2013,4095651.6068915
CO,CLEAR CREEK,2014,3392052.758768
CO,CLEAR CREEK,2015,2951291.128791
CO,CLEAR CREEK,2016,2865964.0728519997
CO,CLEAR CREEK,2017,3174434.4970749994
