Buyer State,Buyer County,Year,Total_MME
GA,BARTOW,2012,153320.900502553
GA,BARTOW,2014,140444.23720848
GA,BARTOW,2015,151016.39129319828
GA,BIBB,2007,224416.24880281935
GA,BIBB,2008,239710.62959568814
GA,BIBB,2009,241038.27055408826
GA,BIBB,2010,539032.342950279
GA,BIBB,2011,301108.887394525
GA,BIBB,2012,294719.45716212003
GA,BIBB,2013,281432.0400456935
GA,BIBB,2014,271052.601107264
GA,BIBB,2015,264936.45641816896
GA,CAMDEN,2011,58173.83792105725
GA,CARROLL,2006,135833.82760398954
GA,CARROLL,2007,145355.35279965473
GA,CARROLL,2008,148435.14022158895
GA,CARROLL,2009,165810.046142993
GA,CARROLL,2010,344063.302691956
GA,CARROLL,2011,177171.667752484
GA,CARROLL,2012,178896.8981957115
GA,CARROLL,2013,174754.7973751565
GA,CARROLL,2014,175246.7433178835
GA,CARROLL,2015,181006.337972271
GA,CATOOSA,2006,64530.0581970911
GA,CATOOSA,2008,245389.995398663
GA,CATOOSA,2011,107148.5015870445
GA,CATOOSA,2012,238726.3418905185
GA,CATOOSA,2014,389468.02115845
GA,CATOOSA,2015,396395.700144628
GA,CHATHAM,2006,1597857.2714519447
GA,CHATHAM,2007,782867.7965418599
GA,CHATHAM,2008,654228.5205727784
GA,CHATHAM,2009,1011431.9945726929
GA,CHATHAM,2010,2595464.863235827
GA,CHATHAM,2011,1118505.4559232865
GA,CHATHAM,2012,1493970.6323760091
GA,CHATHAM,2013,2691749.4232452298
GA,CHATHAM,2014,2212589.638455534
GA,CHATHAM,2015,1901699.4026259268
GA,CHEROKEE,2006,89605.4624521417
GA,CHEROKEE,2007,110916.8838491614
GA,CHEROKEE,2008,124328.8701890725
GA,CHEROKEE,2009,142205.385048958
GA,CHEROKEE,2010,320563.155741147
GA,CHEROKEE,2011,190422.32341178026
GA,CHEROKEE,2012,176555.96732722624
GA,CHEROKEE,2013,178136.14783806776
GA,CHEROKEE,2014,194881.919198221
GA,CHEROKEE,2015,209526.19025242797
GA,CLARKE,2011,211538557.89675987
GA,CLARKE,2012,80455076.1353777
GA,CLARKE,2015,80853622.36193296
GA,CLAYTON,2006,96055.80709640795
GA,CLAYTON,2007,137565.08123164185
GA,CLAYTON,2008,250090.84280797787
GA,CLAYTON,2009,226399.48326450374
GA,CLAYTON,2010,443019.8284003175
GA,CLAYTON,2011,173624.845937079
GA,CLAYTON,2012,139553.9169198525
GA,CLAYTON,2013,133308.916943242
GA,CLAYTON,2014,124331.2679826495
GA,CLAYTON,2015,114853.80776744644
GA,COBB,2006,426045.6748592136
GA,COBB,2007,460042.632981297
GA,COBB,2008,561059.0141562319
GA,COBB,2009,575902.3611762931
GA,COBB,2010,1116125.2495855228
GA,COBB,2011,624816.2224856872
GA,COBB,2012,755260.193051179
GA,COBB,2013,630680.0145413874
GA,COBB,2014,558744.2534159515
GA,COBB,2015,606172.3833070016
GA,COLUMBIA,2010,205518.44183719248
GA,COLUMBIA,2012,129751.878772617
GA,COLUMBIA,2013,134522.64793867
GA,COLUMBIA,2014,139812.4820252645
GA,COLUMBIA,2015,141044.456014344
GA,COWETA,2007,263500.05900326994
GA,COWETA,2008,199257.0802320365
GA,COWETA,2009,167700.50775845975
GA,COWETA,2011,127273.9930507773
GA,COWETA,2012,116986.1707013405
GA,COWETA,2014,162103.225327607
GA,COWETA,2015,147943.9945632336
GA,DEKALB,2006,4138661.7776610125
GA,DEKALB,2007,6296680.84101257
GA,DEKALB,2008,5080950.41438315
GA,DEKALB,2009,5280229.965483516
GA,DEKALB,2010,12713841.464508932
GA,DEKALB,2011,4429294.070971884
GA,DEKALB,2012,3767241.6055554124
GA,DEKALB,2013,4607784.932467987
GA,DEKALB,2014,5185366.458617053
GA,DEKALB,2015,5202302.269364464
GA,DOUGHERTY,2012,116242.1257039095
GA,DOUGLAS,2006,85082.89401170835
GA,DOUGLAS,2008,109153.04979643
GA,DOUGLAS,2010,279691.8429026185
GA,DOUGLAS,2011,174130.302731279
GA,DOUGLAS,2012,148448.65171359925
GA,DOUGLAS,2013,141202.884315493
GA,DOUGLAS,2014,149300.771098479
GA,DOUGLAS,2015,156224.71443940798
GA,FANNIN,2010,73190.914095113
GA,FANNIN,2013,30812.9809143855
GA,FAYETTE,2009,77652.6983092355
GA,FAYETTE,2011,109776.17248432955
GA,FAYETTE,2014,108113.4003959515
